away_score,home_score,game_id,season,season_type,home_team_id,home_team_name,home_team_abbrev,away_team_id,away_team_name,away_team_abbrev,game_date,home_win,away_win,home_time_in_front,away_time_in_front,home_time_in_front_fr,away_time_in_front_fr,away_time_behind,home_time_behind,home_win1,home_win2,home_win3,home_win4,away_win1,away_win2,away_win3,away_win4,home_win_a1,home_win_a2,home_win_a3,home_win_a4,away_win_a1,away_win_a2,away_win_a3,away_win_a4,home_time_behind_fr,away_time_behind_fr,win_time_in_front,lose_time_in_front,win_team,lose_team,win_time_behind,lose_time_behind
103,100,400900608,2017,2,22,Portland,POR,3,New Orleans,NO,17268,FALSE,TRUE,1864,622,0.6472222222222223,0.21597222222222223,1864,622,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.21597222222222223,0.6472222222222223,0.21597222222222223,0.6472222222222223,NO,POR,0.6472222222222223,0.21597222222222223
76,103,400900590,2017,2,1,Atlanta,ATL,30,Charlotte,CHA,17267,TRUE,FALSE,2722,11,0.9451388888888889,0.0038194444444444443,2722,11,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0038194444444444443,0.9451388888888889,0.9451388888888889,0.0038194444444444443,ATL,CHA,0.0038194444444444443,0.9451388888888889
100,98,400900591,2017,2,16,Minnesota,MIN,25,Oklahoma City,OKC,17267,FALSE,TRUE,329,2326,0.11423611111111111,0.8076388888888889,329,2326,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0.8076388888888889,0.11423611111111111,0.8076388888888889,0.11423611111111111,OKC,MIN,0.11423611111111111,0.8076388888888889
109,91,400900592,2017,2,6,Dallas,DAL,7,Denver,DEN,17267,FALSE,TRUE,626,2140,0.21736111111111112,0.7430555555555556,626,2140,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.7430555555555556,0.21736111111111112,0.7430555555555556,0.21736111111111112,DEN,DAL,0.21736111111111112,0.7430555555555556
96,108,400900593,2017,2,13,Los Angeles,LAL,3,New Orleans,NO,17267,TRUE,FALSE,2380,404,0.8263888888888888,0.14027777777777778,2380,404,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.14027777777777778,0.8263888888888888,0.8263888888888888,0.14027777777777778,LAL,NO,0.14027777777777778,0.8263888888888888
104,129,400900594,2017,2,23,Sacramento,SAC,21,Phoenix,PHX,17267,TRUE,FALSE,2835,0,0.984375,0,2835,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.984375,0.984375,0,SAC,PHX,0,0.984375
120,111,400900581,2017,2,20,Philadelphia,PHI,11,Indiana,IND,17266,FALSE,TRUE,0,2826,0,0.98125,0,2826,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.98125,0,0.98125,0,IND,PHI,0,0.98125
105,114,400900582,2017,2,2,Boston,BOS,17,Brooklyn,BKN,17266,TRUE,FALSE,2827,0,0.9815972222222222,0,2827,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.9815972222222222,0.9815972222222222,0,BOS,BKN,0,0.9815972222222222
121,124,400900583,2017,2,14,Miami,MIA,5,Cleveland,CLE,17266,TRUE,FALSE,671,2267,0.18638888888888888,0.6297222222222222,671,2267,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.6297222222222222,0.18638888888888888,0.18638888888888888,0.6297222222222222,MIA,CLE,0.6297222222222222,0.18638888888888888
75,122,400900584,2017,2,4,Chicago,CHI,19,Orlando,ORL,17266,TRUE,FALSE,2792,15,0.9694444444444444,0.005208333333333333,2792,15,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.005208333333333333,0.9694444444444444,0.9694444444444444,0.005208333333333333,CHI,ORL,0.005208333333333333,0.9694444444444444
